Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
 Madam Secretary,2014–2019,43 min,7.6,278,Drama            ,urdu
In Return: Just a Book,2016,-,-,-,"Documentary, Short            ",malayalam
Jyothirgamaya,2001,-,-,-,-,malayalam
Chandralekha,1997,172 min,7.5,"1,019","Comedy, Romance            ",malayalam
Morni,II 1956,-,-,-,-,punjabi
Patlachi Soon,1966,-,-,-,-,marathi
Rangbaaz,1973,-,7.9,46,Drama            ,bengali
Nishkalank,2003,-,-,-,Family            ,marathi
Azhagiya Kanney,1982,120 min,5.7,10,-,tamil
Gopalaa,1994,-,2.6,5,Action            ,hindi
Bhanu Weds Bhoomi,2019,-,-,-,Drama            ,kannada
Naya KPK?,2014,-,-,-,"Documentary, Short            ",urdu
Rasigan Oru Rasigai,1986,-,-,-,-,tamil
Lahoo Ka Jawab Lahoo Se,1990,-,-,-,Action            ,hindi
Ayodhya Mein Lanka,,-,-,-,Comedy            ,hindi
Lifu Super,2016,136 min,-,-,Drama            ,kannada
Mr Fraud,2012,-,-,-,Thriller            ,hindi
Roop Nagar,1947,-,-,-,-,hindi
Kempirve,2017,130 min,7.3,26,Drama            ,kannada
Mujhe Jeene Do,1963,95 min,7.5,76,"Action, Crime, Drama            ",urdu
Chooda Ek Pratha,2015,-,5.9,7,Drama            ,hindi
Siva Kesav,2013,-,-,-,Drama            ,telugu
Trimurti,1974,-,6,20,"Crime, Drama            ",hindi
Takkaridonga,1984,-,5.7,7,-,telugu
Njan Thamburan,2002,-,-,-,-,malayalam
Ondh Kathe Hella,2019,127 min,6.2,25,Thriller            ,kannada
Sam Bahadur,2021,-,-,-,War            ,hindi
Hridhayam Paadunnu,1980,-,-,-,-,malayalam
Yaaraa,2004,-,-,-,Drama            ,hindi
Ajante,1996,148 min,7.2,9,Drama            ,bengali
Woh Koi Aur Hoga,1967,-,6,9,"Action, Drama, Mystery            ",hindi
Thalavattam,1986,147 min,7.9,"1,082","Comedy, Drama, Romance            ",malayalam
Ayuktham: Paradox,2019,12 min,-,-,"Short, Drama            ",malayalam
Kusthi,,125 min,-,-,Action            ,kannada
Aap Ki Parchhaiyan,1964,128 min,6.3,39,"Drama, Family, Romance            ",hindi
Rang Birangi,1983,180 min,7.2,508,Comedy            ,hindi
Amutha,2018,-,7.4,7,"Crime, Musical, Thriller            ",tamil
Adamkhor,1955,-,-,-,Action            ,hindi
Meethi Meethi Baatein,1977,-,5.1,22,Drama            ,hindi
Krantikal,1993,-,-,-,-,bengali
Kaaal,2020,109 min,8.4,469,Horror            ,marathi
Kalshekar Aahet Ka?,2010,-,-,-,Thriller            ,marathi
Khoon Khoon,1973,-,5.2,30,"Crime, Mystery, Thriller            ",hindi
Dhoomam,1985,-,-,-,-,malayalam
Narayan,2017,110 min,6.8,27,Action            ,hindi
Arjun Reddy,2017,182 min,8.1,"21,624","Action, Drama, Romance            ",telugu
Commander,1959,-,-,-,-,hindi
Babu Band Baja,2011,128 min,8,43,Drama            ,marathi
Amaidhi Padai,1994,172 min,7.6,399,"Action, Crime, Drama            ",tamil
Mia Bhai,1990,-,-,-,Drama            ,bengali
Sita,1980,120 min,7.4,7,Family            ,bengali
Meri Aan,1993,-,4.5,13,"Drama, Family, Romance            ",hindi
Milan,1958,-,-,-,Drama            ,hindi
Yuva,2004,161 min,7.4,"8,526","Action, Drama, Thriller            ",hindi
Katta Tanal Dupatta Par,2014,135 min,-,-,Action            ,bhojpuri
Power Star,,-,-,-,Action            ,malayalam
Karnaa,1995,134 min,6.4,28,Action            ,tamil
Prottabortan,2014,-,-,-,Romance            ,bengali
Fand: The Trap,2014,130 min,5.7,21,"Action, Romance, Thriller            ",bengali
When the Moon Was Full,2019,131 min,6.7,"1,878","Crime, Drama, Romance            ",urdu
Thaayi,2008,-,-,-,Drama            ,kannada
Mouchak,1974,131 min,7.9,303,Drama            ,bengali
Romeo & Muna,2018,138 min,7.9,10,"Drama, Romance            ",nepali
Chhappan Bhai,2018,98 min,-,-,Comedy            ,hindi
Khandavideko Mamsavideko,1979,108 min,-,-,-,kannada
Captain,2019,-,3.5,79,"Drama, Sport            ",nepali
Durgaa Maa,1986,-,6.7,7,"Drama, Fantasy            ",hindi
Ezra,2017,147 min,6.7,"2,381","Horror, Mystery, Thriller            ",malayalam
 Madam Secretary,2014–2019,43 min,7.5,236,Drama            ,nepali
Kaaviyyan,2019,109 min,3.8,189,Thriller            ,tamil
Mashaal,1984,162 min,7.3,644,"Action, Drama, Family            ",hindi
Bandhan,II 1980,-,-,-,-,urdu
Laila Majnu,1953,132 min,8,25,Romance            ,hindi
Yezhaam Rathri,1982,-,-,-,"Horror, Thriller            ",malayalam
Abuvinte Samskaaram,2020,-,-,-,Drama            ,malayalam
En Bommukutty Ammavukku,1988,99 min,7.1,76,Drama            ,tamil
Yaman,2017,152 min,6.2,483,"Action, Drama, Thriller            ",tamil
Yekkam,2001,-,-,-,Romance            ,tamil
Ramu,1987,-,7.9,23,-,telugu
Naukadubi,1947,147 min,6.6,25,-,hindi
Pyasa Yauvan,1993,-,-,-,Thriller            ,hindi
Tattaad,2020,142 min,8.1,10,"Drama, Musical, Romance            ",marathi
Vilasi Ishwar,1935,-,-,-,-,marathi
Bheri,2002,122 min,-,-,Drama            ,malayalam
Varat Aali Gharat,2009,103 min,-,-,Comedy            ,marathi
Indra Sabha,1956,-,-,-,Drama            ,hindi
Chess: A Game Plan,2004,-,-,-,Thriller            ,hindi
Agg Te Khoon,1975,-,-,-,Action            ,punjabi
Padma Nadir Majhi,1993,126 min,8.2,858,Drama            ,bengali
Sangey Muzhangu,1972,-,5.7,13,Drama            ,tamil
Baharon Phool Barsao,II 1972,-,-,-,Romance            ,hindi
Shirdi Sai,2012,145 min,6.8,242,"Biography, Drama, Musical            ",telugu
Mon Chuyeche Mon,2009,138 min,7.1,9,"Drama, Romance            ",bengali
Seethayanam,,135 min,-,-,Drama            ,kannada
Godam,1983,140 min,7.1,37,Drama            ,hindi
Lootere,1993,156 min,5.1,262,"Action, Romance, Thriller            ",hindi
Jaago,1985,-,-,-,-,hindi
Pathinalaam Raavu,1979,-,-,-,-,malayalam
Bada Din,1998,-,6.3,44,"Drama, Romance            ",hindi
Oonche Log,1965,144 min,7.4,45,"Drama, Romance, Thriller            ",urdu
Pattabhisekam,1974,-,-,-,-,malayalam
Tin Pari Chhoy Premik,1975,-,-,-,-,bengali
Parchain,1974,-,-,-,-,urdu
Chandranath,1957,-,7,10,Drama            ,bengali
Democracy: To Each His Own,2010,6 min,-,-,"Documentary, Short            ",malayalam
Dear Brother,1995,134 min,-,-,Comedy            ,telugu
Swapna,II 1980,-,-,-,-,kannada
Topless,2005,112 min,3,9,"Drama, Romance            ",hindi
Prayapoorthi Aayavarkku Mathram,1989,-,-,-,-,malayalam
Jatt vs. Ielts,2018,143 min,5.7,98,"Comedy, Drama            ",punjabi
Bada Baazigar,1996,-,-,-,Action            ,hindi
Batti Gul Powerful,2009,-,-,-,Comedy            ,marathi
Viyarpintae Vila,1962,-,-,-,-,malayalam
Parchhain,1952,-,5.9,15,"Drama, Family            ",hindi
The Man Who 'Speaks' Nature,I 2018,9 min,-,-,"Documentary, Short            ",assamese
Private Life,1983,-,-,-,Drama            ,hindi
Pataakha,2018,134 min,7.2,"3,744","Action, Comedy, Drama            ",hindi
Chal Mohan Ranga,2018,148 min,5.8,808,Romance            ,telugu
Thirudathe,1961,177 min,7.4,21,-,tamil
Jeevan Naya,1936,140 min,7.3,6,Drama            ,hindi
Vidarunna Mottugal,1977,-,-,-,-,malayalam
Punyam Aham,2010,113 min,5.6,29,Drama            ,malayalam
Ranakdevi,1946,123 min,-,-,-,gujarati
Jab Pyar Kiya To Darna Kya,2014,-,-,-,Action            ,bhojpuri
Uriyattu,2020,126 min,-,-,Drama            ,malayalam
Shivam,II 2015,152 min,6.1,114,Thriller            ,kannada
Oru Mugathirai,2017,-,5.7,15,Drama            ,tamil
Ustad Hotel,2012,151 min,8.2,"12,065","Comedy, Drama            ",malayalam
Do Behnen,1959,-,5.5,15,"Drama, Romance            ",hindi
Zombie Reddy,2021,130 min,6.7,"1,403","Action, Comedy, Horror            ",telugu
Asiya,1960,-,8.5,23,"Drama, Family            ",bengali
Njan Gandharvan,1991,146 min,7.5,372,"Drama, Fantasy, Romance            ",malayalam
Chandni Chowk,1954,-,5.6,9,"Drama, Family            ",hindi
Mitta Miraasu,2001,-,3.5,6,-,tamil
Teen Chor,1973,126 min,5.8,9,"Action, Crime, Drama            ",hindi
Sisters of the Trees,2018,82 min,-,-,Documentary            ,rajastani
Take Care,III 2016,-,-,-,Drama            ,hindi
Ennavo Nadikkaradhu,1991,-,3.9,7,-,tamil
Parbhav Ni Preet,1975,-,-,-,Drama            ,gujarati
Teen Devian,1965,121 min,7,178,"Musical, Romance            ",hindi
Naalu Policeum Nalla Irundha Oorum,2015,-,5.3,113,Comedy            ,tamil
Cilantro's Picnic,2019,28 min,9.5,6,"Short, Drama, Family            ",rajastani
A Little Boy's Diary,,-,-,-,"Biography, Drama            ",punjabi
Mahathma,2009,-,6,167,"Action, Crime, Drama            ",telugu
Inaiya Thalaimurai,2016,96 min,-,-,Drama            ,tamil
Chacha Chowdhury,1953,-,-,-,"Drama, Family            ",hindi
Shart,1954,-,5.8,9,"Drama, Family            ",hindi
Shikar,2006,135 min,7.1,11,"Action, Drama, Musical            ",bengali
Zakhmi Sipahi,1981,-,-,-,Action            ,hindi
Ms. Lekha Tharoor Kaanunnathu,2013,-,3.8,8,"Horror, Thriller            ",malayalam
Oass,2012,105 min,6.4,195,Drama            ,hindi
Gudumba Shankar,2004,176 min,5.8,866,"Action, Comedy, Drama            ",telugu
Karishma Kudrat Kaa,1985,185 min,6.1,56,"Action, Drama            ",hindi
Naan Kadavul,2009,165 min,7.8,"1,820","Action, Drama            ",tamil
Devaru Kotta Thangi,1973,-,8.4,15,-,kannada
Mounaragam,2019– ,22 min,-,-,Drama            ,malayalam
Paisa Bolta Hain,1971,-,-,-,Action            ,hindi
Vartmaan,1995,-,-,-,Drama            ,hindi
Hamari Shaadi,1990,-,-,-,"Comedy, Romance            ",hindi
Jihad,2020,-,-,-,Drama            ,tamil
Guzaarish,2010,126 min,7.4,"17,437","Drama, Romance            ",hindi
Lootcase,2020,132 min,7.6,"14,319","Comedy, Crime            ",hindi
Oru Malayalam Colour Padam,2017,117 min,-,-,Drama            ,malayalam
Dui Poysar Alta,1982,128 min,6.2,9,Drama            ,bengali
Ulkuthu,2017,127 min,6.1,101,Thriller            ,tamil
Bobby,1973,168 min,7.1,"1,744","Comedy, Musical, Romance            ",hindi
Sheras Savva Sher,1966,-,-,-,-,marathi
Red Light,II 2006,-,-,-,Drama            ,hindi
Cowboy,2013,134 min,2.9,27,"Action, Thriller            ",malayalam
Game,I 2011,135 min,5.2,"2,146","Action, Crime, Drama            ",hindi
Malangi,1965,-,-,-,Drama            ,punjabi
Second Hand,2013,-,7.1,11,Comedy            ,telugu
Take One,2014,97 min,5.1,191,"Drama, Family            ",bengali
Minchina Ota,2008,138 min,4.9,8,Thriller            ,kannada
Ente Archana,2003,-,-,-,Comedy            ,malayalam
Sita,2019,161 min,4.9,717,"Action, Romance            ",malayalam
Noor,2014,10 min,-,-,"Short, Drama, Family            ",urdu
Maryan,2013,150 min,7.1,"2,946","Adventure, Drama, Romance            ",tamil
Nightmare,I 2020,-,-,-,Drama            ,kannada
Raani,2021,93 min,5.6,14,Drama            ,telugu
Vannathupoochi,2009,-,-,-,Drama            ,tamil
Raakshas,2018,115 min,6.8,27,"Adventure, Drama, Family            ",marathi
Sati Nalayini,1957,-,7.9,9,-,kannada
Murder,2011,-,-,-,Drama            ,bengali
Most Common Budbak,2020,-,7.8,32,Drama            ,hindi
Amaanat,1943,-,-,-,-,hindi
Neelathamara,2009,109 min,6,199,Drama            ,malayalam
Power Star,,-,-,-,Action            ,kannada
Unakkaga Oru Kavithai,2010,125 min,-,-,Drama            ,tamil
Disha,2017,103 min,-,-,"Drama, Family            ",marathi
Mangayir Ullam Mangada Selvam,1962,155 min,-,-,-,tamil
Radiopetti,2017,82 min,7.3,183,Drama            ,tamil
Barati,1954,135 min,-,-,Comedy            ,hindi
Kanalkkireetam,2002,-,4.6,7,-,malayalam
Dhurala,2020,169 min,7.7,242,Drama            ,marathi
Vendru Varuvaan,2016,-,-,-,Drama            ,tamil
Redu,2017,111 min,8.2,56,"Comedy, Drama, Family            ",marathi
Piya Ke Gaon,1985,-,8.1,13,Drama            ,bhojpuri
Vilangu,1987,-,-,-,-,tamil
Vaastupurush,2002,154 min,7.7,104,Drama            ,marathi
Family Pack,I 2020,-,-,-,Drama            ,kannada
Shri Siddhivinayak Mahima,2007,-,4.3,7,"Drama, Family, History            ",hindi
Ghayal,1997,-,-,-,-,urdu
Pilot Premnath,1978,-,5.7,16,-,tamil
Soorya Kanthi,1977,-,-,-,-,malayalam
Role Models,2017,132 min,5,485,"Comedy, Drama            ",malayalam
Kalyana Parisu,1959,194 min,7.4,42,-,tamil
Aaj Ki Awaz,1984,137 min,5.6,76,"Action, Drama, Crime            ",hindi
Tik Tik Tik,2018,130 min,6,"2,392","Action, Adventure, Sci-Fi            ",tamil
Vakiba,2019,120 min,-,-,Drama            ,tamil
Athili Sathibabu LKG,2007,149 min,5.3,68,Comedy            ,telugu
Nisshartho Bhalobasha: What is Love!,2013,151 min,7.4,"8,542","Action, Comedy, Drama            ",bengali
Nakhro,1977,-,-,-,Romance            ,punjabi
Kadaram Kondan,2019,121 min,5.7,"1,521","Action, Crime, Thriller            ",telugu
Menaka,2019,35 min,8.1,43,Thriller            ,malayalam
Ugly Aur Pagli,2008,117 min,3.7,705,"Comedy, Drama            ",hindi
Chacha Bhateeja,1981,-,1.9,17,-,punjabi
Pyar Ka Tohfa,1992,-,-,-,Thriller            ,hindi
Palaivana Solai,2009,-,-,-,Drama            ,tamil
Rickshawali,2007,-,-,-,Drama            ,hindi
Speed,2007,102 min,2.9,510,"Action, Crime, Thriller            ",hindi
Sanskar,1940,-,-,-,-,hindi
Nenu Sailaja,2016,155 min,6.9,"1,742","Action, Comedy, Romance            ",telugu
Oruththi,2003,-,-,-,Drama            ,tamil
Araichi Mani,1942,-,-,-,-,tamil
Gaja,2009,-,-,-,Drama            ,tamil
Dilwar,1951,-,-,-,-,hindi
Amarakavi,1952,-,-,-,Drama            ,tamil
Muhurthanagal,1977,-,-,-,-,malayalam
Naanu Avanalla... Avalu,2015,115 min,8.4,47,Drama            ,kannada
Kottaram Vaidyan,2004,121 min,3.3,12,"Comedy, Drama, Romance            ",malayalam
Bhakta Pundalik,I 1949,-,-,-,-,hindi
Asha Bhalobasha,1995,160 min,7.7,37,"Drama, Musical, Romance            ",bengali
Kashino Dikro,1979,145 min,7.2,8,Drama            ,gujarati
Ka Kha Ga Gha Umo,1970,-,7.4,5,"Comedy, Drama, Family            ",bengali
Patthar Aur Payal,1974,150 min,6.6,56,"Action, Drama            ",hindi
Insaaf Aur Qanoon,1971,-,-,-,-,urdu
Kettikaran,1971,122 min,-,-,Drama            ,tamil
Idhaya Deepam,1989,-,-,-,Family            ,tamil
Noor Jahan,2016,40 min,-,-,"Drama, Family, Fantasy            ",urdu
Raaton Ka Raja,1970,-,4.4,5,Drama            ,hindi
Zindagi 50 50,2013,130 min,2.7,218,"Comedy, Drama            ",hindi
Ezhamkadalinakkare,1979,-,-,-,"Action, Crime, Drama            ",malayalam
City of God,2011,145 min,7.1,577,Drama            ,tamil
Safety Pin,2017,4 min,-,-,"Short, Drama            ",malayalam
Amartya,2021,20 min,-,-,"Short, Drama            ",assamese
Rajas Reise,2007,78 min,-,-,Documentary            ,malayalam
Akale,2004,-,6.8,211,Drama            ,malayalam
Do Gunde,1959,-,-,-,"Action, Crime            ",hindi
Raaz-e-Ulfat,,60 min,-,-,Drama            ,urdu
Mausam,2011,161 min,4.7,"5,233","Drama, Romance, War            ",hindi
Pyaasi Dharti,1965,-,-,-,Drama            ,hindi
Ek Je Chhilo Raja,2018,147 min,7.2,993,"Drama, Mystery, Thriller            ",bengali
Borolar Ghor,2012,-,-,-,Drama            ,bengali
Lagan,1941,150 min,-,-,Drama            ,hindi
Janaadhipan,2019,120 min,6.2,67,"Drama, Thriller            ",malayalam
Lachit Borphukan,1961,-,-,-,History            ,assamese
Vadakakkoru Hridhyam,1978,-,-,-,Drama            ,malayalam
Jai Bharat,1995,183 min,-,-,Action            ,hindi
Yamla Pagla Deewana,2011,163 min,5.6,"4,029","Action, Comedy, Drama            ",hindi
Arikil Oraal,2013,145 min,6,209,Mystery            ,malayalam
Jaani Dushman,1957,-,-,-,-,hindi
Saaz Aur Awaaz,1966,135 min,5.1,11,"Drama, Mystery, Romance            ",hindi
MLA Mani Patham Classum Gusthiyum,2012,146 min,3.2,9,"Action, Drama            ",malayalam
Aelay,2021,153 min,7,433,"Comedy, Drama            ",tamil
Bhagavad Sri Ramanuja,2017,100 min,-,-,Drama            ,kannada
Seththumaan,2021,112 min,-,-,Drama            ,malayalam
London,II 2005,149 min,4.4,93,"Action, Comedy, Drama            ",hindi
Manus Ek Mati,2017,130 min,-,-,Family            ,marathi
Mirza Ghalib,1988– ,27 min,9.4,512,"Short, Biography, Drama            ",urdu
Bommalattam,2008,132 min,6.6,52,Drama            ,tamil
Matlabi Duniya,1961,-,-,-,-,hindi
Santhosh Subramaniyam,2008,177 min,7.4,"1,366","Comedy, Romance            ",tamil
Section 84,,-,-,-,Crime            ,hindi
Rakhi Purnima,2001,125 min,6.3,13,"Drama, Family, Musical            ",bengali
Miss Lolita,1985,-,-,-,Drama            ,bengali
Shades,I,90 min,-,-,"Crime, Drama            ",hindi
Chitrangada,2012,135 min,6.2,322,Drama            ,bengali
Son of Hercules,1964,80 min,2.8,28,Action            ,hindi
Aval Oru Kavarimaan,1995,90 min,-,-,Drama            ,tamil
Kaamukta,2001,-,-,-,Thriller            ,hindi
Paavan Khind,2021,-,-,-,-,marathi
Arvind 2,2013,-,5,10,Thriller            ,telugu
Ek Mutho Roddur,2019,135 min,-,-,Drama            ,bengali
Krrish 3,2013,152 min,5.2,"20,957","Action, Adventure, Sci-Fi            ",telugu
Firautibaaz,2018,-,-,-,Thriller            ,hindi
Vazhunnor,1999,156 min,6,173,"Action, Comedy, Drama            ",malayalam
Guru,III 1989,-,-,-,-,kannada
Sargana,2018,-,-,-,Crime            ,hindi
Badnaam,1975,-,-,-,"Action, Crime, Drama            ",hindi
The Secret,2019,14 min,-,-,"Short, Crime, Family            ",malayalam
Swara Kalpana,1989,146 min,-,-,"Musical, Drama            ",telugu
Bansi Birju,1972,-,5.4,47,"Drama, Romance            ",hindi
Yeh Metro Zindagi,2013,115 min,-,-,Action            ,hindi
Aaham,,-,-,-,Thriller            ,marathi
Raja Satya Vrata,1961,-,-,-,-,kannada
Ranoo: Bar wali,2019,-,-,-,Drama            ,hindi
Umrao Jaan,1981,145 min,7.8,971,"Drama, Musical, Romance            ",oriya
Raja Rani,2013,160 min,7.6,"4,386","Comedy, Drama, Romance            ",tamil
Anbu Thangai,1974,-,7.3,9,Drama            ,tamil
I am Agha,2010,8 min,7.1,8,Short            ,oriya
Thingi,1983,-,-,-,Drama            ,marathi
Saphalam Ee Yathra,2013,-,7.8,8,"Documentary, Short            ",malayalam
Oru Vadakkan Veeragatha,1989,168 min,8.8,"4,589","Drama, History            ",malayalam
Oliyampukal,1990,120 min,6.7,40,"Crime, Drama, Thriller            ",malayalam
Divyadharsanam,1973,139 min,5.6,5,-,malayalam
Premalo Pavani Kalyan,2003,-,-,-,Romance            ,telugu
Maanga,2015,135 min,2.4,34,"Comedy, Sci-Fi            ",tamil
Radha,II 2016,-,-,-,"Drama, Romance            ",nepali
Amchem Noxib,1963,-,-,-,Drama            ,konkani
The Murderer: Hamilton Palace,2011,108 min,3.3,9,Action            ,hindi
Aana Kalari,1978,-,-,-,-,malayalam
Raja Kali Amman,2000,-,4.1,24,"Drama, Fantasy, Thriller            ",tamil
... Re: yakshaprashne,2016,-,6,24,Comedy            ,kannada
My Darling,III,-,-,-,"Action, Romance, Thriller            ",bengali
Rudraprayag,2020,-,-,-,Action            ,kannada
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100 min,5.6,331,Drama            ,hindi
Khasara,2018,-,9,16,Romance            ,urdu
Kanoon Apna Apna,1989,162 min,5.7,142,"Action, Crime, Drama            ",hindi
Harishchandra,1994,-,-,-,Drama            ,bengali
Raktha Sambandham,1962,-,8.7,47,Drama            ,telugu
Issaq,2013,148 min,4.5,436,"Drama, Romance            ",hindi
Victoria & Abdul,2017,111 min,6.8,"32,596","Biography, Drama, History            ",oriya
706,2019,120 min,5.3,442,Thriller            ,hindi
Aasra,1966,161 min,7.2,32,"Drama, Family            ",hindi
Zulm Ki Pukar,1979,-,-,-,Action            ,hindi
Do Qaidi,1986,-,-,-,-,punjabi
Tu Meri Bahon Mein,1991,-,-,-,Romance            ,hindi
Vidyardhi,2004,-,-,-,Action            ,telugu
What do You want to be: Documentary,2016,-,-,-,"Short, History            ",urdu
Black Mask,II 2016,9 min,-,-,"Short, Thriller            ",malayalam
Koodevide?,1983,150 min,7.2,222,Drama            ,malayalam
Anaganaga Oka Thandri,1974,-,-,-,-,telugu
Subhamasthu,1995,-,6.7,7,"Comedy, Drama            ",telugu
Pitta Goda,2016,113 min,6.5,27,Drama            ,telugu
Jaggu,1969,-,-,-,-,punjabi
Shalamon,,-,-,-,Comedy            ,malayalam
Solla Marantha Kathai,2002,154 min,6.4,57,Drama            ,tamil
Ram Rajya,,-,-,-,Drama            ,hindi
Sati Pariksha,1957,140 min,-,-,Fantasy            ,hindi
Kaal Ratri,1997,93 min,-,-,Drama            ,bengali
Swami Ayyappan,2012,90 min,7.5,34,"Animation, Action, Adventure            ",malayalam
Bazi,1987,-,-,-,-,urdu
Jalte Badan,1973,-,5.7,15,Drama            ,hindi
Manorama,2009,-,5.9,15,Thriller            ,telugu
Jism 2,2012,130 min,3,"3,264","Drama, Romance, Thriller            ",hindi
Sivanna,2000,132 min,-,-,Drama            ,telugu
Arab Ka Sona: Abu Kaalia,1979,-,-,-,Action            ,hindi
Iniyum Kurukshethram,1986,-,5.7,16,"Action, Crime, Thriller            ",malayalam
Angaar,1980,-,-,-,"Drama, Mystery            ",hindi
Sivappu,2015,-,-,-,-,tamil
Porkodi 10am Vaguppu,2012,-,-,-,Drama            ,tamil
Meri Bahen,1944,122 min,7.8,6,-,hindi
Thela No. 501,2008,161 min,-,-,Drama            ,bhojpuri
Masti Express,2011,103 min,5.2,90,"Adventure, Comedy, Drama            ",punjabi
Hari Hondal Bargadar : Share Cropper,1981,-,-,-,Drama            ,hindi
Videsi Nair Swadesi Nair,2002,-,4.5,13,"Comedy, Drama            ",malayalam
Lavakusa,2015,91 min,5.1,9,Romance            ,telugu
"16mm: Memories, Movement and a Machine",2008,40 min,-,-,"Documentary, Short            ",malayalam
Swayamvara,1973,158 min,8.2,12,-,kannada
Manu,II 2018,180 min,7.9,"1,012","Mystery, Romance, Thriller            ",telugu
Ru-Ba-Ru,2008,120 min,5.5,247,"Drama, Romance, Thriller            ",hindi
Adi Nuvve,2010,-,-,-,Romance            ,telugu
Modh,2009,-,-,-,Drama            ,hindi
Janiva,2015,105 min,6.2,22,Drama            ,marathi
Sonal,1973,-,-,-,Drama            ,hindi
Kiklee,1960,-,-,-,-,punjabi
Ujwal Bhandari: K dosh thiyo...,2006 Video,5 min,6.6,5,"Short, Music            ",nepali
Dharani Mandala Madhyadolage,1983,146 min,7.4,27,Drama            ,kannada
Punascha,2014,130 min,7.1,51,Drama            ,bengali
Bahuparaak,2014,-,8,60,"Action, Crime, Drama            ",kannada
Shudhu Ekti Bachhar,1966,134 min,7.2,17,Family            ,bengali
Mumbai Mid-Night,2003,-,-,-,Thriller            ,hindi
Subhalekalu,1998,-,5.8,6,Drama            ,telugu
Mangalyam Thanthunanena,2018,138 min,4.9,184,"Comedy, Family            ",malayalam
Muskurahatein,2017,132 min,6.5,21,Romance            ,hindi
Bharthavu,1964,-,-,-,-,malayalam
Shakuntala,1940,160 min,6.7,6,Drama            ,tamil
Adhyayam Onnu Muthal,1985,-,6.3,11,Drama            ,malayalam
Ashtabandham,1986,-,-,-,-,malayalam
Shahji ki Advice,2006,73 min,7.4,25,Comedy            ,hindi
Bahut Din Huwe...,1954,168 min,6.7,24,"Adventure, Drama, Fantasy            ",hindi
Vyamoham,2002,-,-,-,-,malayalam
Pandurangadu,2008,156 min,5.2,"1,098","Drama, Fantasy            ",telugu
Typecaste,2017,100 min,6.8,45,Comedy            ,hindi
Moorat Aka Eunuch's Wedding,2004–2005,640 min,6.4,15,Drama            ,oriya
Saakshatkaaram,2020,15 min,-,-,Short            ,malayalam
Path Bendhe Dilo,1945,-,-,-,-,bengali
Ashwathama,1978,121 min,-,-,-,malayalam
asareeri,2015,-,-,-,Thriller            ,tamil
Ke Apon Ke Por,2011,-,2.3,10,Drama            ,bengali
Vaanga Vaanga,2017,-,-,-,-,tamil
Pancharangi,2010,123 min,7.3,543,Drama            ,kannada
Love Touch,2013,-,-,-,"Comedy, Drama, Romance            ",telugu
Zindagi Jalebi,2013,117 min,3.7,6,Comedy            ,hindi
Mohini Rugmangada,1962,-,-,-,Drama            ,telugu
Taxi Driver,1970,135 min,-,-,Drama            ,punjabi
Honeymoon Travels Pvt. Ltd.,2007,118 min,6.1,"2,364","Comedy, Drama, Romance            ",bhojpuri
Bheeshmaparvam,,-,-,-,Thriller            ,malayalam
The Revenge: Geeta Mera Naam,2000,108 min,2.3,12,Action            ,hindi
Garjanai,1981,-,5.1,19,-,malayalam
Thyagayya,1981,143 min,7.6,16,"Biography, Drama, Family            ",malayalam
Gaai Aur Gori,1973,148 min,6.1,16,"Drama, Family            ",hindi
Sukhmani,2010,-,5.3,29,Drama            ,punjabi
Walayati Babu,1981,-,5.6,21,"Comedy, Romance            ",punjabi
Mattravai Neril,1980,-,-,-,Drama            ,tamil
Chakkara Muthu,2006,-,3.5,137,"Comedy, Drama, Romance            ",malayalam
Sassi Punnu,1965,-,-,-,-,punjabi
Idayathil Nee,1963,-,-,-,-,tamil
Gange Gowri,1967,174 min,8.3,16,-,kannada
Panchajannyam,2004,-,-,-,-,malayalam
Railway Platform,1955,162 min,7.2,24,"Comedy, Drama, Romance            ",hindi
Saadhanai,1986,-,3.6,5,-,tamil
Raid,2018,122 min,7.4,"15,554","Action, Crime, Drama            ",hindi
Namm Kathe Nimm Jothe,2020,122 min,-,-,Comedy            ,kannada
My Heart Is Beating Adola,2012,-,-,-,Romance            ,telugu
Nathicharami,2018,113 min,7.2,234,Drama            ,kannada
Chikni,2002,-,-,-,Thriller            ,hindi
Dampatyam,1957,-,-,-,-,telugu
Firaaq,2008,101 min,7.4,"2,043","Drama, History, Thriller            ",hindi
Mehak,1985,-,-,-,Family            ,hindi
Number One,1994,131 min,7,40,"Drama, Action, Comedy            ",telugu
Guru Bhakti,1960,-,-,-,Drama            ,hindi
Gangaraju ki Sorry Cheppu,2018,80 min,-,-,Comedy            ,telugu
Per Sollum Pillai,1987,134 min,6.7,95,"Action, Drama, Family            ",telugu
My Dear Munna Bhai,2005,-,-,-,Drama            ,hindi
Hyderabad Nawabs,2006,118 min,6.8,116,Comedy            ,hindi
Dulha Mil Gaya,2016 TV Movie,90 min,8.4,24,"Comedy, Romance            ",urdu
Kill Dil,2014,127 min,4.3,"3,885","Action, Comedy, Drama            ",hindi
Uthsaham,2003,150 min,-,-,Romance            ,telugu
Ponnar Sankar,2011,160 min,3.7,58,"Drama, Thriller            ",tamil
Sharabi Ki Ladki,1960,-,-,-,Drama            ,hindi
Bande Barthale,2009,-,-,-,Drama            ,kannada
