Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Seemana,1996,-,8.9,8,"Action, Drama            ",nepali
Weather Report,2017,91 min,-,-,Drama            ,marathi
Shutter,2012,133 min,7.7,"1,017",Thriller            ,malayalam
Maithaanam,2011,125 min,5.9,7,"Drama, Family, Mystery            ",tamil
Sons of Ram,2012,85 min,6.6,76,"Animation, Drama, Musical            ",tamil
Duti Mon,2011,-,-,-,Drama            ,bengali
Swapna Lokam,1999,-,-,-,Romance            ,telugu
Pattalam,2003,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam
The Twelve Thousand,2020,28 min,-,-,"Short, Drama            ",nepali
Indulekha (Malayalam),2020– ,22 min,-,-,Drama            ,malayalam
Sukham Sukhakaram,1994,-,-,-,-,malayalam
Santa,1961,-,-,-,Drama            ,telugu
Mullamottum Munthiricharum,2012,-,4.3,14,Drama            ,malayalam
Fired,I 2010,87 min,4.4,260,Horror            ,hindi
Dillagi,1999,188 min,5.3,"1,068","Drama, Musical, Romance            ",hindi
Nesi,2009,-,-,-,Drama            ,tamil
Kaana Kanmani,2009,132 min,4.4,106,"Drama, Horror            ",malayalam
Bhagwaan Dada,1986,147 min,4.3,167,"Drama, Thriller            ",hindi
A 2nd Hand Lover,2015,135 min,-,-,Romance            ,kannada
Sampoorna Sant Darshanam,1978,-,-,-,Drama            ,hindi
Avar Enakke Sontham,1977,66 min,-,-,-,tamil
Dharti ke God Mein,1971,-,-,-,Drama            ,hindi
Valar Pirai,1962,-,-,-,-,tamil
Shaitaan: A Vision of Madness,2018,65 min,-,-,Thriller            ,hindi
Haaru Hakkiyaneri,2010,-,-,-,Drama            ,kannada
Payal Ki Jhankar,1968,132 min,4.4,12,"Action, Adventure, Comedy            ",hindi
Juniors,2003,-,5.2,13,Romance            ,telugu
Palkon Ki Chhaon Mein,1977,127 min,7.5,65,"Drama, Romance            ",hindi
Dil Ka Sathi Dil,1982,-,6.7,18,Romance            ,hindi
Mounamelanoyi,2002,154 min,6.7,16,Romance            ,telugu
Punar Milan,1940,-,-,-,"Drama, Romance            ",hindi
Maa Shakti,2002–2003,-,8.4,15,History            ,malayalam
Let's Break Up,2020,-,-,-,-,kannada
HIRER SHIKAL,1988,126 min,-,-,"Drama, Romance            ",bengali
Mohanlal,2018,150 min,4.5,507,Comedy            ,malayalam
Dharti Ke Lal,1950,125 min,6.4,16,"Drama, History            ",hindi
Angadipattu,2018– ,23 min,-,-,Comedy            ,malayalam
Golmaal Returns,2008,135 min,5.1,"7,115","Comedy, Crime, Mystery            ",hindi
The Journey Within,2015,78 min,7,35,"Documentary, Music            ",oriya
Janma Bhoomi,1995,-,8,6,Drama            ,nepali
Inspector Gullu,2018,124 min,6.8,32,Action            ,hindi
Deiva Thirumagal,2011,166 min,8.1,"4,954",Drama            ,tamil
Aaj Ka Inteqaam,1991,-,-,-,Thriller            ,hindi
Tuch Khari Gharchi Laxmi,2011,115 min,-,-,Drama            ,marathi
Pataas,2015,127 min,6.7,758,"Action, Comedy            ",telugu
Ram,2022,-,-,-,"Action, Crime, Thriller            ",malayalam
Monagadu,1976,151 min,-,-,"Crime, Drama            ",telugu
Kala Dhanda Goray Log,1986,158 min,5.7,35,"Drama, Family            ",hindi
Vishwaguru,2017,-,-,-,Biography            ,malayalam
Thappad,I 2020,142 min,6.8,"14,626",Drama            ,hindi
Talentime,2009,120 min,6.8,183,Drama            ,tamil
Maan Bhi Jao Sanam,2018 TV Movie,49 min,-,-,Comedy            ,urdu
Shah,2015,109 min,8.5,"1,392","Biography, Drama, Sport            ",urdu
Harsha Varsha Jayaraj,2020,-,8,6,"Short, Comedy            ",malayalam
Yeh Kaise Hua,1984,-,-,-,-,urdu
Adavukal Pathinettu,1978,-,-,-,-,malayalam
Bhale Papa,1971,-,-,-,-,telugu
Raakhi Ki Saugandh,1979,-,-,-,"Action, Crime, Drama            ",hindi
Khara Varasdar,1986,-,-,-,Drama            ,marathi
Lakhon Fasane,1961,-,-,-,Drama            ,urdu
Vallam Kali,,86 min,-,-,Documentary            ,malayalam
Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,896,"Drama, Fantasy, Horror            ",punjabi
Amma I Love You,2018,147 min,7.4,55,Drama            ,kannada
Kahi Katai,2018,-,-,-,Family            ,nepali
Adhiktam,2020,45 min,-,-,"Action, Comedy            ",hindi
Oru Vasantha Geetham,1994,-,4.7,9,-,tamil
Ishq Ishq,1977,-,3.4,23,Musical            ,urdu
Aata Hoti Geli Kuthe,1991,-,-,-,Comedy            ,marathi
123,2002,127 min,5.7,59,Comedy            ,telugu
Saajan Ki Saheli,1981,-,5.5,44,"Family, Drama            ",hindi
Chanakya,2019,147 min,5.4,492,"Action, Adventure, Thriller            ",malayalam
Khaan Dost,1976,157 min,5.6,38,"Action, Crime, Drama            ",hindi
Kalsandhya,1997,124 min,7.8,11,Drama            ,assamese
Ippadikku En Kadhal,2007,115 min,-,-,Drama            ,tamil
Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam
Sutradhaarulu,1990,-,8.1,55,"Drama, Musical            ",telugu
Butter & Cheese,2014,13 min,-,-,"Short, Family            ",nepali
That Girl in Yellow Boots,2010,103 min,6.6,"3,574","Crime, Drama, Mystery            ",kannada
Aanamuttathe Aangalamar,2000,108 min,-,-,"Comedy, Drama            ",malayalam
Jhankar,1942,-,-,-,-,hindi
Ira Thedunna Manushyar,1981,-,-,-,-,malayalam
Aideu,2007,91 min,-,-,-,assamese
